generation,age_in_income_year,n_unweighted,n_weighted,median_real,mean_real,p25_real,p75_real,birth_year_min,birth_year_max,birth_years_observed,income_year_min,income_year_max,generation_birth_years,coverage_share,fully_covered,meets_min_records
Gen Z (1997-2012),22,7149,19513849.57040002,29916.829627438594,35901.447099026416,15797.603538266216,46587.31979481156,1997,2002,6,2019,2024,16,0.375,FALSE,TRUE
Gen Z (1997-2012),23,6289,17320907.950699978,34940.48984610867,41716.787749565185,20526.094480293694,53367.84564876361,1997,2001,5,2020,2024,16,0.3125,FALSE,TRUE
Gen Z (1997-2012),24,5151,13875171.009999983,42126.94276870991,51368.4641492086,26329.339230443693,63574.699926447516,1997,2000,4,2021,2024,16,0.25,FALSE,TRUE
Gen Z (1997-2012),25,3820,10319889.890000038,46183.71258066082,54880.500263398506,29516.04651162791,68517.77388050781,1997,1999,3,2022,2024,16,0.1875,FALSE,TRUE
Gen Z (1997-2012),26,2667,7116352.7600000175,47392.81061479865,57728.569816564384,30789.141720440544,71841.33068102793,1997,1998,2,2023,2024,16,0.125,FALSE,TRUE
Gen Z (1997-2012),27,1426,3856671.91000001,51315.23620073424,63894.93804848306,30789.141720440544,76972.85430110135,1997,1997,1,2024,2024,16,0.0625,FALSE,TRUE
Greatest (to 1927),34,616,1074458.3199999998,33948.52884982805,36510.64120757313,16732.02226073661,50114.494968793784,1927,1927,1,1961,1961,NA,NA,FALSE,TRUE
Greatest (to 1927),35,1135,2226139.5456000003,37262.933274195755,37750.620070367724,18389.72968103142,50114.494968793784,1926,1927,2,1961,1962,NA,NA,FALSE,TRUE
Greatest (to 1927),36,1783,3818243.5608999967,34756.82715577634,38028.56303639582,16764.207292988023,52539.389886638644,1925,1927,3,1961,1963,NA,NA,FALSE,TRUE
Greatest (to 1927),37,2378,5288498.962600009,35171.66278259411,38134.65772882686,16535.79273757737,52918.5848304617,1924,1927,4,1961,1964,NA,NA,FALSE,TRUE
Greatest (to 1927),38,3688,6995248.88429998,36060.55717556465,38841.254736124865,18411.847195357834,53863.7597291635,1923,1927,5,1961,1965,NA,NA,FALSE,TRUE
Greatest (to 1927),39,4687,8899905.322299987,37412.74613842707,39927.402354501995,19179.00749516441,54475.01379606352,1922,1927,6,1961,1966,NA,NA,FALSE,TRUE
Greatest (to 1927),40,5968,10513339.48689999,37893.338309386076,40891.56744679393,19090.051076395102,56119.11920764061,1921,1927,7,1961,1967,NA,NA,FALSE,TRUE
Greatest (to 1927),41,7245,12115073.34239996,38358.01499032882,41693.67644983152,19561.040658755916,56830.67731075589,1920,1927,8,1961,1968,NA,NA,FALSE,TRUE
Greatest (to 1927),42,8537,13857287.818300024,38358.924580242914,42488.837192177016,20164.00995604512,56930.71481971361,1919,1927,9,1961,1969,NA,NA,FALSE,TRUE
Greatest (to 1927),43,9468,15039314.609599926,39343.80134279339,43693.57897929579,20592.277988858357,58418.89656030353,1918,1927,10,1961,1970,NA,NA,FALSE,TRUE
Greatest (to 1927),44,10618,17027652.704300012,38910.72414004537,43788.19503698005,20624.98769438763,58390.4767381678,1917,1927,11,1961,1971,NA,NA,FALSE,TRUE
Greatest (to 1927),45,11661,18560500.90289995,39657.38959525236,44951.88441504809,21404.61148736517,59564.01351605031,1916,1927,12,1961,1972,NA,NA,FALSE,TRUE
Greatest (to 1927),46,12593,19847181.69710007,40208.01867739272,45750.339818149354,21598.677942026323,59920.21276595745,1915,1927,13,1961,1973,NA,NA,FALSE,TRUE
Greatest (to 1927),47,13467,21259798.783200018,39946.8085106383,45872.273992256625,21391.909356115557,60755.293786371316,1914,1927,14,1961,1974,NA,NA,FALSE,TRUE
Greatest (to 1927),48,13906,21872454.564999804,40435.02467029849,46598.289262590646,22222.479331955823,61427.661950856294,1913,1927,15,1961,1975,NA,NA,FALSE,TRUE
Greatest (to 1927),49,15592,24322702.769599754,39768.423261039585,45512.1985045621,21315.002799029666,61164.16353333687,1912,1927,16,1961,1976,NA,NA,FALSE,TRUE
Greatest (to 1927),50,15885,24680704.020000014,40328.01991209024,46470.71156057883,21821.186170547317,61596.214511041006,1911,1927,17,1961,1977,NA,NA,FALSE,TRUE
Greatest (to 1927),51,16380,25345192.903699946,40375.60852672461,46343.32815653458,21870.9835630965,62170.86747417171,1910,1927,18,1961,1978,NA,NA,FALSE,TRUE
Greatest (to 1927),52,16981,25915050.79640003,40693.65871036694,47071.0008854779,21896.42877681293,63035.59352941313,1909,1927,19,1961,1979,NA,NA,FALSE,TRUE
Greatest (to 1927),53,17791,27031466.20539994,40638.154018913556,47016.707646692135,21896.42877681293,62713.65545477006,1908,1927,20,1961,1980,NA,NA,FALSE,TRUE
Greatest (to 1927),54,18415,27901369.785099957,39949.57791779111,46562.066541379405,21870.9835630965,62453.5877062074,1907,1927,21,1961,1981,NA,NA,FALSE,TRUE
Greatest (to 1927),55,18714,28241496.505099926,39946.8085106383,46540.56102438861,22101.84495455729,62203.87886984134,1906,1927,22,1961,1982,NA,NA,FALSE,TRUE
Greatest (to 1927),56,18382,27723005.41749983,39687.87831408724,46114.24545881976,21753.192218699118,61596.214511041006,1905,1927,23,1961,1983,NA,NA,FALSE,TRUE
Greatest (to 1927),57,18471,27812791.839499813,39335.12645968233,46210.63678873898,21350.72772203039,61946.69646526922,1904,1927,24,1961,1984,NA,NA,FALSE,TRUE
Greatest (to 1927),58,18532,28077477.55259983,38910.72414004537,45934.703899066655,21058.242212749756,61235.387128429546,1903,1927,25,1961,1985,NA,NA,FALSE,TRUE
Greatest (to 1927),59,18584,27972405.82419988,38132.50965724447,45409.54167350301,20590.93614300569,60765.560165975105,1902,1927,26,1961,1986,NA,NA,FALSE,TRUE
Greatest (to 1927),60,17406,26112687.599299848,37227.6561467619,44178.18546969221,18779.808212161737,59471.211854975685,1901,1927,27,1961,1987,NA,NA,FALSE,TRUE
Greatest (to 1927),61,16670,25443733.146799732,35315.92127896388,42231.84365475292,16781.633217511364,57143.778886547356,1900,1927,28,1961,1988,NA,NA,FALSE,TRUE
Greatest (to 1927),62,14848,22650452.687299933,32331.932237931476,40222.093600736516,12449.580976216368,55261.118367854695,1899,1927,29,1961,1989,NA,NA,FALSE,TRUE
Greatest (to 1927),63,13096,19953704.082999934,31578.122985535654,39707.190248171086,11777.390747216232,54681.74616736822,1898,1927,30,1961,1990,NA,NA,FALSE,TRUE
Greatest (to 1927),64,11861,17916249.749999978,24206.386462750957,34175.966933870106,9402.288428045902,46949.52053040435,1897,1927,31,1961,1991,NA,NA,FALSE,TRUE
Greatest (to 1927),65,9421,14370635.634499973,15721.092508102975,28295.612629509884,6675.052731731319,38632.713487188,1896,1927,32,1961,1992,NA,NA,FALSE,TRUE
Greatest (to 1927),66,8142,12437508.538399987,13315.322434541607,26895.325319368047,5541.2497162117315,35646.50518343627,1895,1927,33,1961,1993,NA,NA,FALSE,TRUE
Greatest (to 1927),67,7047,10757592.521600008,12241.447621777223,24630.066597605226,5283.4811729573485,31062.92551548603,1894,1927,34,1961,1994,NA,NA,FALSE,TRUE
Greatest (to 1927),68,6214,9698995.413400041,11634.689548707573,23981.52648303764,4807.31577050753,28361.184057059585,1893,1927,35,1961,1995,NA,NA,FALSE,TRUE
Greatest (to 1927),69,5623,8706893.063900007,10834.504737785619,23270.539560029258,4362.117391132285,26016.193629769787,1892,1927,36,1961,1996,NA,NA,FALSE,TRUE
Greatest (to 1927),70,4654,7211698.878399988,10266.619893249315,22002.4095291703,4008.1347290477684,24156.364422045026,1891,1927,37,1961,1997,NA,NA,FALSE,TRUE
Millennial (1981-1996),16,21871,26098250.860000227,3568.7740344669305,5766.149334587617,1589.9257143572975,6974.84887342004,1981,1996,16,1997,2012,16,1,TRUE,TRUE
Millennial (1981-1996),17,25750,33261815.910000067,5678.323693924981,9064.094034048327,2644.1091095956995,11145.055365340053,1981,1996,16,1998,2013,16,1,TRUE,TRUE
Millennial (1981-1996),18,24883,37996826.159999855,9272.395192811133,13631.385538801702,4206.608922376649,18036.807200378968,1981,1996,16,1999,2014,16,1,TRUE,TRUE
Millennial (1981-1996),19,26595,45667764.17000041,12845.90816567515,17325.61585922278,5663.167512151072,23479.750247347,1981,1996,16,2000,2015,16,1,TRUE,TRUE
Millennial (1981-1996),20,26151,46981078.03000038,15681.757807271344,20678.591593456953,7066.112969886305,28044.059482510995,1981,1996,16,2001,2016,16,1,TRUE,TRUE
Millennial (1981-1996),21,26348,49103735.54999983,19630.841637757698,24593.31908139747,9317.052122356694,33070.403166280325,1981,1996,16,2002,2017,16,1,TRUE,TRUE
Millennial (1981-1996),22,26518,51215022.40999998,24616.84841170639,30317.134493431793,12691.9,39105.14288648676,1981,1996,16,2003,2018,16,1,TRUE,TRUE
Millennial (1981-1996),23,27079,53527288.725499965,29152.107411699606,35174.30106435761,15694.898028190784,45647.55537690143,1981,1996,16,2004,2019,16,1,TRUE,TRUE
